test,stimulus,stimulus_unit,value,unit,note
line_regulation,8.0,V,4.994616179567328,V,
line_regulation,9.0,V,4.997267147268774,V,
line_regulation,10.0,V,4.997660855752825,V,
line_regulation,11.0,V,4.999027397366502,V,
line_regulation,12.0,V,4.999604972714515,V,
line_regulation,13.0,V,5.002180047078868,V,
line_regulation,14.0,V,5.005667876071479,V,
line_regulation,15.0,V,5.006136220026188,V,
line_regulation,16.0,V,5.008555318618334,V,
line_regulation,17.0,V,5.008873354091498,V,
line_regulation,18.0,V,5.0105921544519205,V,
