test,stimulus,stimulus_unit,value,unit,note
ripple,0.0,s,4.9921392275977565,V,
ripple,1e-07,s,4.997416403418092,V,
ripple,2e-07,s,5.001404610356585,V,
ripple,3e-07,s,5.003446562921348,V,
ripple,4e-07,s,5.007813783893097,V,
ripple,5e-07,s,5.007338071703499,V,
ripple,6e-07,s,5.007293258813743,V,
ripple,7e-07,s,5.003487367354397,V,
ripple,8e-07,s,5.000270939983501,V,
ripple,9e-07,s,4.996763653589718,V,
ripple,1e-06,s,4.992675041016093,V,
ripple,1.1e-06,s,4.989087303171414,V,
ripple,1.2e-06,s,4.984800896069106,V,
ripple,1.3e-06,s,4.98100786953115,V,
ripple,1.4e-06,s,4.978509758805837,V,
ripple,1.5e-06,s,4.9782608720375645,V,
ripple,1.6e-06,s,4.980687592434399,V,
ripple,1.7e-06,s,4.980647277998074,V,
ripple,1.8e-06,s,4.9847972275628525,V,
ripple,1.9e-06,s,4.9888817434010555,V,
ripple,2e-06,s,4.99129171921277,V,
ripple,2.1e-06,s,4.997156174626687,V,
ripple,2.2e-06,s,5.002316699479533,V,
ripple,2.3e-06,s,5.002093336444171,V,
ripple,2.4e-06,s,5.005774659724698,V,
ripple,2.5e-06,s,5.006675323179006,V,
ripple,2.6e-06,s,5.005278993273326,V,
ripple,2.7e-06,s,5.00460509028008,V,
ripple,2.8e-06,s,5.000948175984793,V,
ripple,2.9e-06,s,4.995643043611727,V,
ripple,3e-06,s,4.993609308226122,V,
ripple,3.1e-06,s,4.989124560116203,V,
ripple,3.2e-06,s,4.985498310607944,V,
ripple,3.3e-06,s,4.982895821839574,V,
ripple,3.4e-06,s,4.979828914789848,V,
ripple,3.5e-06,s,4.978900736497981,V,
ripple,3.6e-06,s,4.978167503034768,V,
ripple,3.7e-06,s,4.982070667639097,V,
ripple,3.8e-06,s,4.9839407098959265,V,
ripple,3.9e-06,s,4.988002522526763,V,
ripple,4e-06,s,4.9915166745733295,V,
ripple,4.1e-06,s,4.99614008594167,V,
ripple,4.2e-06,s,5.00047933478711,V,
ripple,4.3e-06,s,5.005396537811957,V,
ripple,4.4e-06,s,5.004064461528315,V,
ripple,4.5e-06,s,5.005323756794053,V,
ripple,4.6e-06,s,5.006335604672138,V,
ripple,4.7e-06,s,5.005551050023037,V,
ripple,4.8e-06,s,5.001588952830101,V,
ripple,4.9e-06,s,4.995207756991949,V,
ripple,5e-06,s,4.9902632275176,V,
ripple,5.1e-06,s,4.988812621642093,V,
ripple,5.2e-06,s,4.9838162068758,V,
ripple,5.3e-06,s,4.980335437852855,V,
ripple,5.4e-06,s,4.980444042360919,V,
ripple,5.5e-06,s,4.979883248551811,V,
ripple,5.6e-06,s,4.979623922999938,V,
ripple,5.7e-06,s,4.981701000936662,V,
ripple,5.8e-06,s,4.984986831625369,V,
ripple,5.9e-06,s,4.990049228483313,V,
ripple,6e-06,s,4.9934004909508865,V,
ripple,6.1e-06,s,4.997626349807857,V,
ripple,6.2e-06,s,5.0015581934533575,V,
ripple,6.3e-06,s,5.0025393897463255,V,
ripple,6.4e-06,s,5.007377987094167,V,
ripple,6.5e-06,s,5.007736564431127,V,
ripple,6.6e-06,s,5.006625877297563,V,
ripple,6.7e-06,s,5.002133824833344,V,
ripple,6.8e-06,s,5.000376775854139,V,
ripple,6.9e-06,s,4.997950003862728,V,
ripple,7e-06,s,4.99097024809511,V,
ripple,7.1e-06,s,4.988271202197056,V,
ripple,7.2e-06,s,4.985571996487389,V,
ripple,7.3e-06,s,4.98014403581337,V,
ripple,7.4e-06,s,4.981076777317874,V,
ripple,7.5e-06,s,4.9793334263194255,V,
ripple,7.6e-06,s,4.97931653236822,V,
ripple,7.7e-06,s,4.981780091247386,V,
ripple,7.8e-06,s,4.985202299806982,V,
ripple,7.9e-06,s,4.988575618152585,V,
ripple,8e-06,s,4.993927122583489,V,
ripple,8.1e-06,s,4.996446155703128,V,
ripple,8.2e-06,s,5.000595719723832,V,
ripple,8.3e-06,s,5.005149384821954,V,
ripple,8.4e-06,s,5.006123052517311,V,
ripple,8.5e-06,s,5.005900998266512,V,
ripple,8.6e-06,s,5.007042708841257,V,
ripple,8.7e-06,s,5.005573197843184,V,
ripple,8.8e-06,s,5.00056562979457,V,
ripple,8.9e-06,s,4.995727707081721,V,
ripple,9e-06,s,4.9926467141459385,V,
ripple,9.1e-06,s,4.988306205622742,V,
ripple,9.2e-06,s,4.9842544691659025,V,
ripple,9.3e-06,s,4.982859994729959,V,
ripple,9.4e-06,s,4.978439734645583,V,
ripple,9.5e-06,s,4.98004204899247,V,
ripple,9.6e-06,s,4.978198349140426,V,
ripple,9.7e-06,s,4.980668184959199,V,
ripple,9.8e-06,s,4.985183990094435,V,
ripple,9.9e-06,s,4.989583914731931,V,
ripple,1e-05,s,4.993640464697885,V,
ripple,1.01e-05,s,4.9974529250150725,V,
ripple,1.02e-05,s,5.001152812217678,V,
ripple,1.03e-05,s,5.004260182059338,V,
ripple,1.04e-05,s,5.006671533846597,V,
ripple,1.05e-05,s,5.006605264889875,V,
ripple,1.06e-05,s,5.0063736895726105,V,
ripple,1.07e-05,s,5.004680426802514,V,
ripple,1.08e-05,s,5.0010112953562,V,
ripple,1.09e-05,s,4.9978716826574185,V,
ripple,1.1e-05,s,4.993347340476771,V,
ripple,1.11e-05,s,4.990465856622746,V,
ripple,1.12e-05,s,4.98487741145231,V,
ripple,1.13e-05,s,4.981027631474439,V,
ripple,1.14e-05,s,4.9790941199035865,V,
ripple,1.15e-05,s,4.978768356749865,V,
ripple,1.16e-05,s,4.980390455723924,V,
