test,stimulus,stimulus_unit,value,unit,note
uvlo,6.0,V,0.013118183200497372,V,ON
uvlo,6.05,V,0.014950402386929525,V,ON
uvlo,6.1,V,0.01417607601644652,V,ON
uvlo,6.15,V,0.013977761022353378,V,ON
uvlo,6.2,V,0.008520702668218218,V,ON
uvlo,6.25,V,0.01014378758137956,V,ON
uvlo,6.3,V,0.016502376860221744,V,ON
uvlo,6.35,V,0.012919907032698831,V,ON
uvlo,6.4,V,0.009803083031010804,V,ON
uvlo,6.45,V,0.014075039580604087,V,ON
uvlo,6.5,V,0.015538725257249463,V,ON
uvlo,6.55,V,0.014667812251156194,V,ON
uvlo,6.6,V,0.012208613603529376,V,ON
uvlo,6.65,V,0.010310127025638615,V,ON
uvlo,6.7,V,0.010784267685352312,V,ON
uvlo,6.75,V,0.020670372577401765,V,ON
uvlo,6.8,V,0.0169501509458989,V,ON
uvlo,6.85,V,0.01293645696825547,V,ON
uvlo,6.9,V,0.009662811576817884,V,ON
uvlo,6.95,V,0.013129142549484565,V,ON
uvlo,7.0,V,0.013803836960223205,V,ON
uvlo,7.05,V,0.013358068278556014,V,ON
uvlo,7.1,V,0.010757008680969196,V,ON
uvlo,7.15,V,0.014245003978280315,V,ON
uvlo,7.2,V,0.015599341008313328,V,ON
uvlo,7.25,V,0.008099997990339766,V,ON
uvlo,7.3,V,0.008733244919548213,V,ON
uvlo,7.35,V,0.007065018400644618,V,ON
uvlo,7.4,V,0.008599471448759359,V,ON
uvlo,7.45,V,0.007402232087590199,V,ON
uvlo,7.5,V,4.998350332016358,V,TRIP
