test,stimulus,stimulus_unit,value,unit,note
ovp,17.0,V,5.012898704323586,V,ON
ovp,17.05,V,5.01327086892173,V,ON
ovp,17.1,V,5.011167996141328,V,ON
ovp,17.15,V,5.009377672069804,V,ON
ovp,17.2,V,5.013351173701016,V,ON
ovp,17.25,V,5.011971323414411,V,ON
ovp,17.3,V,5.012768252974973,V,ON
ovp,17.35,V,5.014164884267833,V,ON
ovp,17.4,V,5.010622055369168,V,ON
ovp,17.45,V,5.012530243903025,V,ON
ovp,17.5,V,5.0128348393432685,V,ON
ovp,17.55,V,5.012239109839767,V,ON
ovp,17.6,V,5.014390248836075,V,ON
ovp,17.65,V,5.013764614622698,V,ON
ovp,17.7,V,5.012818950748565,V,ON
ovp,17.75,V,5.012648295498474,V,ON
ovp,17.8,V,5.015410977202533,V,ON
ovp,17.85,V,5.013285813751913,V,ON
ovp,17.9,V,5.015227613334791,V,ON
ovp,17.95,V,5.015099035401277,V,ON
ovp,18.0,V,5.011659273983764,V,ON
ovp,18.05,V,5.01294967835914,V,ON
ovp,18.1,V,5.014654597451932,V,ON
ovp,18.15,V,5.01523800568487,V,ON
ovp,18.2,V,5.015969556327182,V,ON
ovp,18.25,V,5.016078495455511,V,ON
ovp,18.3,V,5.0165013481666545,V,ON
ovp,18.35,V,5.014464152640507,V,ON
ovp,18.4,V,5.014784369940364,V,ON
ovp,18.45,V,5.0163385791309585,V,ON
ovp,18.5,V,5.014611856044037,V,ON
ovp,18.55,V,5.016910033005987,V,ON
ovp,18.6,V,5.013016172215893,V,ON
ovp,18.65,V,5.016455276395145,V,ON
ovp,18.7,V,5.015290171583444,V,ON
ovp,18.75,V,5.0126746352832345,V,ON
ovp,18.8,V,5.017169646516704,V,ON
ovp,18.85,V,5.016241619727739,V,ON
ovp,18.9,V,5.015881395485261,V,ON
ovp,18.95,V,5.01431007514284,V,ON
ovp,19.0,V,5.015301945781362,V,ON
ovp,19.05,V,0.01653536174305415,V,TRIP
