test,stimulus,stimulus_unit,value,unit,note
overcurrent,0.5,A,4.999759111480401,V,ON
overcurrent,0.525,A,4.99534234205998,V,ON
overcurrent,0.55,A,4.9988151062610555,V,ON
overcurrent,0.575,A,4.9978505364956325,V,ON
overcurrent,0.6,A,4.999001933315423,V,ON
overcurrent,0.625,A,4.998160118412843,V,ON
overcurrent,0.65,A,4.996931491423449,V,ON
overcurrent,0.675,A,4.996587408396639,V,ON
overcurrent,0.7,A,4.998971675891616,V,ON
overcurrent,0.725,A,4.994786284892666,V,ON
overcurrent,0.75,A,4.999434959522104,V,ON
overcurrent,0.775,A,4.9952339488093225,V,ON
overcurrent,0.8,A,4.99396097740036,V,ON
overcurrent,0.825,A,4.996330912562472,V,ON
overcurrent,0.85,A,4.995546319149045,V,ON
overcurrent,0.875,A,4.992685786159555,V,ON
overcurrent,0.9,A,4.99492310259313,V,ON
overcurrent,0.925,A,4.990590401138975,V,ON
overcurrent,0.95,A,4.99151449628352,V,ON
overcurrent,0.975,A,4.994139393486818,V,ON
overcurrent,1.0,A,4.991616475809626,V,ON
overcurrent,1.025,A,4.989596901821034,V,ON
overcurrent,1.05,A,4.991870967979044,V,ON
overcurrent,1.075,A,4.992025178101957,V,ON
overcurrent,1.1,A,4.990166505477121,V,ON
overcurrent,1.125,A,4.987039819275136,V,ON
overcurrent,1.15,A,4.988780555199186,V,ON
overcurrent,1.175,A,4.9894770974699965,V,ON
overcurrent,1.2,A,4.989553051222645,V,ON
overcurrent,1.225,A,4.990729603203291,V,ON
overcurrent,1.25,A,4.987120903661241,V,ON
overcurrent,1.275,A,4.9863263304622105,V,ON
overcurrent,1.3,A,4.9865426176945675,V,ON
overcurrent,1.325,A,4.987959361302369,V,ON
overcurrent,1.35,A,4.98428759151339,V,ON
overcurrent,1.375,A,4.987207938509961,V,ON
overcurrent,1.4,A,4.980676530580857,V,ON
overcurrent,1.425,A,4.985546311921068,V,ON
overcurrent,1.45,A,4.982886590740858,V,ON
overcurrent,1.475,A,4.984138639374307,V,ON
overcurrent,1.5,A,0.014065444854529912,V,TRIP
